Name,Description,Source,Status
moored-buoys-and-moorings,Data from moored buoys and moorings,Operational,
drifting-buoys,Data from drifting buoys,Operational,
sea-ice,Sea ice observations,Operational,
drifting-ocean-profilers,"Data from drifting ocean profilers, e.g. Argo",Operational,
ship-surface,Along track surface observations from ships,Operational,
ship-sub-surface,"Profile data measured from ships, e.g. XBT, CTD, etc.",Operational,
wave-buoys,Data from wave buoys,Operational,
tsunami-buoys,"Data from tsunami buoys, e.g. DART buoys",Operational,
autonomous-surface-vehicles,Data from autonomous surface vehicles,Operational,
autonomous-underwater-vehicles,Data from autonomous under water vehicles,Operational,
animal-borne-sensors,Data from animal borne sensors,Operational,
fixed-marine-platforms,"Data from fixed surface platforms",Operational,
fixed-coastal-stations,"Data from fixed coastal stations, e.g. sea level monitoring station, HF radars etc",Operational,
